23.03. 17:25:10.075    Writing spawn.ini
23.03. 17:25:10.077    Writing map.
23.03. 17:25:10.077    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:25:10.087    About to launch main game executable.
23.03. 17:25:10.091    Writing settings INI.
23.03. 17:25:10.092    Launch executable: C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\syringe.exe
23.03. 17:25:10.093    Launch arguments:  "gamemd.exe" -SPAWN -LOG -CD
23.03. 17:25:10.099    GameProcessLogic: Process started.
23.03. 17:25:10.111    Waiting for qres.dat or syringe.exe to exit.
23.03. 17:25:42.084    GameProcessLogic: Process exited.
23.03. 17:25:42.122    GameProcessExited: Parsing statistics.
23.03. 17:25:42.122    Parsing game statistics.
23.03. 17:25:42.123    Attempting to read statistics from debug/debug.log
23.03. 17:25:42.123    GameProcessExited: Adding match to statistics.
23.03. 17:25:42.125    Skipping adding match to statistics because game only had one player.
23.03. 17:25:43.089    Writing spawn.ini
23.03. 17:25:43.091    Writing map.
23.03. 17:25:43.091    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:25:43.100    About to launch main game executable.
23.03. 17:25:43.105    Writing settings INI.
23.03. 17:25:43.106    Launch executable: C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\syringe.exe
23.03. 17:25:43.107    Launch arguments:  "gamemd.exe" -SPAWN -LOG -CD
23.03. 17:25:43.113    GameProcessLogic: Process started.
23.03. 17:25:43.125    Waiting for qres.dat or syringe.exe to exit.
23.03. 17:26:10.682    GameProcessLogic: Process exited.
23.03. 17:26:10.761    GameProcessExited: Parsing statistics.
23.03. 17:26:10.762    Parsing game statistics.
23.03. 17:26:10.762    Attempting to read statistics from debug/debug.log
